ssid,bssid,rssi,channel,time,band,observed_room,file_name,target_room,point_type,point_id
wi_dje_406,0A:29:D5:47:E7:B0,-28,52,오후 5:18:04,5GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,0A:29:D5:47:E7:B0,-27,52,오후 5:18:07,5GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_412,0A:29:D5:2B:5E:F0,-91,149,오후 5:20:44,5GHz,412,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_412,0A:29:D5:2B:5E:F0,-91,149,오후 5:20:47,5GHz,412,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_412,0A:29:D5:2B:5E:F0,-91,149,오후 5:20:49,5GHz,412,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_412,0A:29:D5:2B:5E:F0,-91,149,오후 5:20:52,5GHz,412,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_412,0A:29:D5:2B:5E:F0,-91,149,오후 5:20:54,5GHz,412,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,06:29:D5:2B:5E:E0,-47,1,오후 5:20:44,2.4GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,06:29:D5:2B:5E:E0,-27,1,오후 5:20:47,2.4GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,06:29:D5:2B:5E:E0,-27,1,오후 5:20:49,2.4GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,06:29:D5:2B:5E:E0,-27,1,오후 5:20:52,2.4GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,06:29:D5:2B:5E:E0,-27,1,오후 5:20:54,2.4GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_313,06:29:D5:2B:31:70,-50,1,오후 5:20:44,2.4GHz,313,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_313,06:29:D5:2B:31:70,-50,1,오후 5:20:47,2.4GHz,313,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_414,0A:29:D5:2B:5E:D0,-72,116,오후 5:20:44,5GHz,414,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_414,0A:29:D5:2B:5E:D0,-72,116,오후 5:20:47,5GHz,414,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_414,0A:29:D5:2B:5E:D0,-68,116,오후 5:20:49,5GHz,414,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_414,0A:29:D5:2B:5E:D0,-70,116,오후 5:20:52,5GHz,414,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_414,0A:29:D5:2B:5E:D0,-70,116,오후 5:20:54,5GHz,414,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,0A:29:D5:2B:5E:E0,-36,100,오후 5:20:44,5GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,0A:29:D5:2B:5E:E0,-37,100,오후 5:20:47,5GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,0A:29:D5:2B:5E:E0,-39,100,오후 5:20:49,5GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
wi_dje_413,0A:29:D5:2B:5E:E0,-39,100,오후 5:20:52,5GHz,413,인수_data/413_공유기.txt,413,공유기,413_공유기
